Year,Forecast,Lower_Bound,Upper_Bound
2005-01-01,347917784.41992605,303147135.23388195,393602013.8620775
2006-01-01,370322672.1825919,325052268.4182111,414232637.6528166
2007-01-01,389620034.37380934,341184086.79921,432992800.31497407
2008-01-01,405795558.95663023,363702605.7709059,451859696.19021654
2009-01-01,377355761.48748815,325603111.7304475,422674072.81956524
2010-01-01,399760631.78042036,353586585.89803904,446685224.97288823
2011-01-01,419057964.7408361,372495849.72189003,463766343.36912435
2012-01-01,435233468.5699021,388025521.04364073,480149909.29231477
2013-01-01,406793649.16086096,358734218.09612745,453306797.62470895
2014-01-01,429198510.38174945,387221659.6749413,475454740.42707884
